age_CE	trsgi	numsamp
990	0.802	5
991	1.033	5
992	0.993	5
993	1.259	5
994	1.129	5
995	1.15	5
996	0.955	5
997	0.924	5
998	1.006	5
999	0.802	5
1000	0.878	5
1001	0.934	5
1002	1.149	5
1003	1.138	5
1004	0.83	5
1005	1.027	5
1006	0.703	5
1007	0.898	5
1008	1.311	5
1009	1.213	5
1010	1.353	5
1011	1.693	5
1012	1.692	5
1013	1.148	5
1014	1.303	5
1015	1.479	5
1016	1.176	5
1017	1.286	5
1018	1.015	5
1019	1.118	5
1020	1.291	5
1021	1	5
1022	1.082	5
1023	1.143	5
1024	0.676	5
1025	0.785	5
1026	0.987	5
1027	1.155	5
1028	1.171	5
1029	0.768	6
1030	0.557	6
1031	1.051	6
1032	1.153	6
1033	1.14	6
1034	1.192	6
1035	1.455	6
1036	1.248	6
1037	1.056	6
1038	0.816	6
1039	1.232	6
1040	1.467	6
1041	1.121	6
1042	1.288	6
1043	1.026	6
1044	1.018	6
1045	1.068	6
1046	0.841	6
1047	0.893	6
1048	0.99	6
1049	0.977	6
1050	0.824	6
1051	0.993	6
1052	0.725	6
1053	0.83	6
1054	0.865	6
1055	1	6
1056	1.145	6
1057	1.186	6
1058	1.173	6
1059	0.986	6
1060	1.031	6
1061	0.869	6
1062	0.93	6
1063	1.093	6
1064	0.891	6
1065	1.124	6
1066	0.8	6
1067	1.057	6
1068	1.03	6
1069	0.694	6
1070	0.553	6
1071	0.809	6
1072	0.95	6
1073	0.993	6
1074	0.935	6
1075	0.583	6
1076	0.71	6
1077	0.761	6
1078	0.77	6
1079	0.922	6
1080	0.952	6
1081	1.441	6
1082	1.108	6
1083	1.427	6
1084	1.478	7
1085	1.817	7
1086	1.429	7
1087	0.813	7
1088	0.985	7
1089	1.24	7
1090	1.167	7
1091	1.129	7
1092	1.27	7
1093	1.229	7
1094	1.386	7
1095	1.509	7
1096	0.922	7
1097	1.363	7
1098	1.309	7
1099	1.173	7
1100	1.223	7
1101	0.984	7
1102	0.861	7
1103	1.205	7
1104	0.67	7
1105	0.891	7
1106	0.921	7
1107	1.059	7
1108	1.026	7
1109	1.228	7
1110	0.93	7
1111	1.173	7
1112	0.92	7
1113	0.748	7
1114	0.715	8
1115	0.847	8
1116	0.845	8
1117	0.758	8
1118	0.535	8
1119	0.727	8
1120	0.647	8
1121	0.717	8
1122	0.702	8
1123	0.921	8
1124	0.92	8
1125	1.071	8
1126	0.883	8
1127	1.116	8
1128	0.946	8
1129	1.017	8
1130	0.903	8
1131	0.733	8
1132	0.762	8
1133	0.849	8
1134	0.81	8
1135	0.898	8
1136	0.987	8
1137	0.787	8
1138	0.878	8
1139	0.606	8
1140	0.873	8
1141	0.737	8
1142	0.785	8
1143	0.915	8
1144	0.81	8
1145	0.683	8
1146	0.805	8
1147	0.883	8
1148	0.684	8
1149	0.769	8
1150	0.863	8
1151	0.775	8
1152	0.894	8
1153	0.882	8
1154	0.764	8
1155	0.961	9
1156	1.197	9
1157	1.186	9
1158	1.099	9
1159	1.018	9
1160	1.392	9
1161	1.474	9
1162	1.248	9
1163	1.121	9
1164	1.355	9
1165	1.321	9
1166	1.252	9
1167	0.96	9
1168	1.094	9
1169	1.245	9
1170	1.091	9
1171	1.25	9
1172	0.957	9
1173	1.013	9
1174	0.891	9
1175	1.265	9
1176	1.12	9
1177	1.02	9
1178	1.153	9
1179	1.216	9
1180	1.072	9
1181	0.864	9
1182	1.059	9
1183	0.933	9
1184	0.593	9
1185	0.962	9
1186	0.719	9
1187	0.778	9
1188	1.012	9
1189	1.079	9
1190	1.069	9
1191	1.07	9
1192	1.315	9
1193	1.149	9
1194	0.804	9
1195	0.853	9
1196	1.086	9
1197	0.901	9
1198	1.099	9
1199	0.74	9
1200	0.998	9
1201	0.894	9
1202	0.809	9
1203	0.91	9
1204	0.933	9
1205	0.936	9
1206	1.056	9
1207	1.112	9
1208	1.071	9
1209	1.242	9
1210	0.973	9
1211	0.98	9
1212	1.062	9
1213	0.876	9
1214	1.046	9
1215	0.729	9
1216	0.761	9
1217	0.809	9
1218	0.776	9
1219	0.941	9
1220	0.974	9
1221	1.104	9
1222	1.197	9
1223	1.291	9
1224	1.25	9
1225	1.353	9
1226	1.184	9
1227	1.331	9
1228	1.391	9
1229	1.621	9
1230	1.365	9
1231	1.518	9
1232	1.383	9
1233	1.316	9
1234	1.137	9
1235	0.787	9
1236	1.17	9
1237	1.067	9
1238	1.159	9
1239	1.114	9
1240	1.316	9
1241	1.295	9
1242	1.296	9
1243	0.974	9
1244	1.286	9
1245	1.406	9
1246	0.919	9
1247	1.183	9
1248	1.265	9
1249	1.06	9
1250	0.802	9
1251	1.043	9
1252	1.058	9
1253	1.007	9
1254	0.881	9
1255	0.809	9
1256	0.902	9
1257	1.097	9
1258	1.142	9
1259	0.961	9
1260	0.642	9
1261	0.744	9
1262	0.936	9
1263	0.852	9
1264	0.618	9
1265	0.989	9
1266	0.757	9
1267	1.222	9
1268	1.055	9
1269	1.297	9
1270	0.996	9
1271	1.262	9
1272	0.917	9
1273	0.659	9
1274	0.923	9
1275	0.953	9
1276	1.072	9
1277	1.117	9
1278	0.99	9
1279	1.096	9
1280	1.145	9
1281	0.79	9
1282	0.867	9
1283	0.622	9
1284	0.687	9
1285	0.782	9
1286	0.729	9
1287	0.909	9
1288	0.854	9
1289	0.947	9
1290	0.994	9
1291	0.98	9
1292	0.624	9
1293	0.756	9
1294	0.678	9
1295	0.78	9
1296	1.052	9
1297	1.092	9
1298	1.147	9
1299	1.1	9
1300	1.196	9
1301	1.221	9
1302	1.66	9
1303	1.569	9
1304	1.76	9
1305	1.461	9
1306	1.288	9
1307	1.34	9
1308	1.392	9
1309	1.528	9
1310	1.76	9
1311	0.782	9
1312	1.101	9
1313	0.991	9
1314	1.094	9
1315	1.18	9
1316	1.259	10
1317	1.16	10
1318	0.638	10
